Expedition,Field_number,Biorepository_number,Museum,Order,Family,Subfamily,Genus,Species,Life_stage,SVL_mm,Mass_g,ED_mm_insitu,CD_mm_insitu,ED_mm_dissected,CD_mm_dissected,AD_mm_dissected,LD_mm_dissected,N_eyes
NHM-Nov-2018,JWS 883,,NHM,Anura,Dendrobatidae,Colostethinae,Epipedobates,tricolor,adult,18.9,0.6,2.8,2.2,2.3,1.4,2,NA,1
French Guiana April 2018,MW 9969,,BMNH,Anura,Microhylidae,Gastrophryninae,Chiasmocleis,shudikarensis,adult,19.9,,NA,NA,2.2,2,2,0.8,1
French Guiana April 2018,MW 11550,,BMNH,Anura,Craugastoridae,Ceuthomantinae,Pristimantis,sp.,adult,14.9,,2.7,2.1,2.4,2.1,2.3,1.3,1
French Guiana April 2018,MW 11574,,BMNH,Anura,Leptodactylidae,Leptodactylinae,Adenomera,sp. (hylaedactyla?),adult,20.3,,2.4,2,2.4,2,2.3,NA,1
NHM-Nov-2018,JWS 886,,NHM,Anura,Hemisotidae,,Hemisus,marmoratus,adult,33.1,5.1,3.3,2.2,2.4,2.3,2.4,NA,1
French Guiana April 2018,MW 11140,,BMNH,Anura,Centrolenidae,Hyalinobatrachinae,Hyalinobatrachium,cappellei,adult,21.4,,3.1,2.7,2.8,2.5,2.5,NA,1
French Guiana April 2018,MW 11542,,BMNH,Anura,Eleutherodactylidae,Eleutherodactylinae,Eleutherodactylus,johnstonei,adult,20.1,,2.9,2.3,2.7,2.2,2.5,1.7,1
NHM-Nov-2018,JWS 882,,NHM,Anura,Mantellidae,Mantellinae,Mantella,betsileo,adult,22.3,1,3.2,2,2.9,2.2,2.6,NA,1
French Guiana April 2018,MW 11106,,BMNH,Anura,Hylidae,Dendropsophinae,Dendropsophus,sp.,adult,17.5,,3.2,2.3,2.9,2.5,2.6,2.1,1
French Guiana April 2018,MW 9957,,BMNH,Anura,Centrolenidae,Hyalinobatrachinae,Hyalinobatrachium,cappellei,adult,22.8,,2.6,NA,3.05,2.45,2.95,NA,2
