,Order,Suborder,Family,Subfamily,Genus,Species,genus_species,Feng_tiplabel,mod_tiplabel,Museum,SpecimenNumber,Sex,Stage,SVL_mm,Mass_g,ED_right_mm,ED_left_mm,CD_right_mm,CD_left_mm,Ant_dis_mm,Post_dis_mm,PostLid_dis_mm,EL_R_mm,EL_L_mm,Measured_by
1,Anura,Neobatrachia,Hylidae,NA,Acris,gryllus,Acris_gryllus,NA,Acris_gryllus_Hylidae,NHM,87.5.14.58,NA,adult,22.6,1.1,3.3,2.3,3.1,2.5,3,NA,5.7,1.2,1,Kate_Thomas
2,Anura,Neobatrachia,Hylidae,NA,Acris,gryllus,Acris_gryllus,NA,Acris_gryllus_Hylidae,NHM,87.5.14.59,NA,adult,20.7,0.9,3.1,2.8,2.3,2.2,3.1,NA,47,1.4,1.1,Kate_Thomas
3,Anura,Neobatrachia,Hylidae,NA,Acris,gryllus,Acris_gryllus,NA,Acris_gryllus_Hylidae,NHM,87.5.14.60,NA,adult,16.7,0.6,2.9,2.5,2,2.3,3,NA,4.6,0.7,0.7,Kate_Thomas
4,Anura,Neobatrachia,Bufonidae,NA,Adenomus,kelaartii,Adenomus_kelaartii,Adenomus_kelaartii_Bufonidae,Adenomus_kelaartii_Bufonidae,NHM,69.7.24.7,NA,adult,41,6.2,NA,4.6,NA,3.9,6.3,NA,10.2,1.9,1.8,Kate_Thomas
5,Anura,Neobatrachia,Bufonidae,NA,Adenomus,kelaartii,Adenomus_kelaartii,Adenomus_kelaartii_Bufonidae,Adenomus_kelaartii_Bufonidae,NHM,90.11.8.64,NA,adult,41.7,6.5,4.7,4.7,3.8,4.2,6.2,NA,10.4,1.8,1.8,Kate_Thomas
6,Anura,Neobatrachia,Hyperoliidae,NA,Afrixalus,dorsalis,Afrixalus_dorsalis,Afrixalus_dorsalis_Hyperoliidae,Afrixalus_dorsalis_Hyperoliidae,NHM,1980.134,NA,adult,25.8,1.5,3.7,3.8,2.9,3,4.4,NA,7.3,1,1,Kate_Thomas
7,Anura,Neobatrachia,Hyperoliidae,NA,Afrixalus,dorsalis,Afrixalus_dorsalis,Afrixalus_dorsalis_Hyperoliidae,Afrixalus_dorsalis_Hyperoliidae,NHM,1980.1341,NA,adult,24.7,1.3,3.6,3.5,2.8,2.7,4,NA,7.2,1,0.8,Kate_Thomas
8,Anura,Neobatrachia,Hyperoliidae,NA,Afrixalus,dorsalis,Afrixalus_dorsalis,Afrixalus_dorsalis_Hyperoliidae,Afrixalus_dorsalis_Hyperoliidae,NHM,1980.1342,NA,adult,25.4,1.3,3.5,3.8,2.7,2.8,4,NA,7.4,0.7,0.8,Kate_Thomas
9,Anura,Neobatrachia,Hylidae,NA,Agalychnis,callidryas,Agalychnis_callidryas,Agalychnis_callidryas_Hylidae,Agalychnis_callidryas_Hylidae,NHM,1979.366,NA,adult,48.9,7,7.4,7.2,5.7,5.3,10.5,15.1,NA,1.3,1.2,Kate_Thomas
10,Anura,Neobatrachia,Hylidae,NA,Agalychnis,callidryas,Agalychnis_callidryas,Agalychnis_callidryas_Hylidae,Agalychnis_callidryas_Hylidae,NHM,1979.365,NA,adult,49.1,7,6.3,6.8,4.8,5.2,8.8,14.4,NA,1.2,1.1,Kate_Thomas
11,Anura,Neobatrachia,Hylidae,NA,Agalychnis,callidryas,Agalychnis_callidryas,Agalychnis_callidryas_Hylidae,Agalychnis_callidryas_Hylidae,NHM,94.7.26.64,NA,adult,62.5,14,8.3,7.8,5.8,5.9,11.2,18.7,NA,1.5,1.8,Kate_Thomas
12,Anura,Neobatrachia,Hylidae,NA,Agalychnis,callidryas,Agalychnis_callidryas,Agalychnis_callidryas_Hylidae,Agalychnis_callidryas_Hylidae,NHM,94.7.26.65,NA,adult,62,12,7.7,7.5,5.3,5.3,12.5,19.5,NA,1.9,2.4,Kate_Thomas
13,Anura,Neobatrachia,Phyllomedusidae,NA,Agalychnis,dacnicolor,Agalychnis_dacnicolor,NA,Agalychnis_dacnicolor_Hylidae,NHM,92.10.31.82,NA,adult,77.6,30.1,8.7,8.3,6.7,6.6,13.1,20.6,NA,2.6,2.7,Kate_Thomas
14,Anura,Neobatrachia,Phyllomedusidae,NA,Agalychnis,dacnicolor,Agalychnis_dacnicolor,NA,Agalychnis_dacnicolor_Hylidae,NHM,92.10.31.83,NA,adult,70,17.9,8.1,8.6,7.3,7.2,11,20.4,NA,2,2.4,Kate_Thomas
15,Anura,Neobatrachia,Phyllomedusidae,NA,Agalychnis,dacnicolor,Agalychnis_dacnicolor,NA,Agalychnis_dacnicolor_Hylidae,NHM,92.10.31.84,NA,adult,95,18.1,8.9,9.6,6.7,7,13.6,21.6,NA,2.6,2.7,Kate_Thomas
16,Anura,Neobatrachia,Mantellidae,NA,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,Aglyptodactylus_madagascariensis_Mantellidae,NHM,82.3.16.00,NA,adult,43.9,9.1,6,6.3,4.9,4.7,7.3,NA,12.1,2.2,2.2,Kate_Thomas
