clade,species,BM [g],ED [mm],n,source
acanthomorph,Abudefduf saxatilis,86.43,11.98,3,CAS/WFB
acanthomorph,Acanthemblemaria macrospilus,0.57,2.33,3,CAS/WFB
acanthomorph,Acanthocepola abbreviata,7.40,6.15,3,CAS/WFB
acanthomorph,Acanthochaenus luetkenii,21.30,7.90,1,CAS/WFB
acanthomorph,Acanthostracion quadricornis,40.57,7.57,3,CAS/WFB
acanthomorph,Acropoma sp.,9.80,9.05,2,CAS/WFB
acanthomorph,Aethiomastacembelus paucispinis,10.65,2.90,2,CAS/WFB
acanthomorph,Agonostomus monticola,7.90,6.63,3,CAS/WFB
acanthomorph,Ambassis gymnocephalus,1.60,4.23,3,CAS/WFB
acanthomorph,Ambloplites rupestris,86.20,13.50,1,CAS/WFB
acanthomorph,Ammodytes hexapterus,1.50,3.32,3,CAS/WFB
acanthomorph,Anabas testudineus,12.70,6.15,2,CAS/WFB
acanthomorph,Anableps dowei,24.77,6.53,3,CAS/WFB
acanthomorph,Anomalops katoptron,116.05,19.10,2,CAS/WFB
acanthomorph,Anoplogaster cornuta,35.97,6.15,3,CAS/WFB
acanthomorph,Anoplopoma fimbria,85.00,8.50,3,CAS/WFB
acanthomorph,Antennarius hispidus,39.00,4.35,2,CAS/WFB
acanthomorph,Antigonia capros,32.13,12.00,3,CAS/WFB
acanthomorph,Aphredoderus sayanus,8.73,4.93,3,CAS/WFB
acanthomorph,Aplocheilichthys spilauchen,5.33,5.33,3,CAS/WFB
acanthomorph,Aplocheilus lineatus,1.95,3.73,2,CAS/WFB
acanthomorph,Apogon retrosella,8.33,8.13,3,CAS/WFB
acanthomorph,Ariomma melanum,34.90,11.27,3,CAS/WFB
acanthomorph,Arripis georgianus,38.73,9.43,3,CAS/WFB
acanthomorph,Atherinella pachylepis,7.30,5.90,3,CAS/WFB
acanthomorph,Atherinomorus insularum,3.25,6.30,2,CAS/WFB
acanthomorph,Barathronus bicolor,8.00,3.45,2,CAS/WFB
acanthomorph,Bathyclupea sp.,75.17,24.47,3,CAS/WFB
acanthomorph,Belontia signata,4.90,5.00,3,CAS/WFB
acanthomorph,Bembras japonica,24.55,10.70,2,CAS/WFB
acanthomorph,Bembrops filiferus,32.20,13.50,3,CAS/WFB
acanthomorph,Bidenichthys sp.,8.97,2.80,3,CAS/WFB
acanthomorph,Bovichtus variegatus,13.95,10.10,2,CAS/WFB
acanthomorph,Brama japonica,338.80,15.90,1,CAS/WFB
acanthomorph,Bregmaceros mcclellandi,1.33,3.10,3,CAS/WFB
acanthomorph,Bufoceratias wedli,158.90,3.50,1,CAS/WFB
acanthomorph,Caesio sp.,17.20,7.67,3,CAS/WFB
acanthomorph,Calamus brachysomus,23.73,8.38,3,CAS/WFB
acanthomorph,Callanthias platei,78.65,10.45,2,CAS/WFB
acanthomorph,Callionymus curvicornis,12.27,6.52,3,CAS/WFB
acanthomorph,Canthigaster punctatissima,10.90,4.67,3,CAS/WFB
acanthomorph,Caulolatilus princeps,143.10,14.00,1,CAS/WFB
acanthomorph,Centroberyx lineatus,112.75,19.30,2,CAS/WFB
acanthomorph,Centrodraco acanthopoma,10.93,6.53,3,CAS/WFB
acanthomorph,Centrogenys vaigiensis,54.90,12.70,2,CAS/WFB
acanthomorph,Centropomus robalito,65.03,10.30,3,CAS/WFB
acanthomorph,Centropyge flavissimus,37.47,7.37,3,CAS/WFB
acanthomorph,Chaetodon ornatissimus,74.10,9.75,1,CAS/WFB
