Family,Species,SVL_mm,SVL_conf,Mass_g,Mass_conf,Brain size,Brain_conf,Eye_vol_mm3,Eye_conf,SSD,N,Activity time,Habitat type,Light availability,Water turbidity,Foraging mobility,Defensive strategies,Mating system
Ranidae,Amolops granulosus,32.58,,2.21,,13.37,,34.23,,0.115,1,D,T,C,,Q,N,M
Ranidae,Amolops lifanensis,52.77,± 1.60,14.36,± 0.90,28.84 ± 3.48,,94.75,± 4.10,0.133,2,N,A,,T,Q,N,M
Ranidae,Amolops loloensis,52.41, ± 0.80,18.6, ± 1.20,35.81 ± 1.96,,88.37, ± 9.53,0.105,2,D,A,,T,Q,N,M
Ranidae,Amolops mantzorum,53.8, ± 1.20,14.22,± 0.40,29.73 ± 2.30,,90.27, ± 27.27,0.106,14,N,A,,T,Q,N,M
Bombinatoridae,Bombina maxima,58.09, ± 1.10,18.96, ± 1.20,23.59 ± 1.25,,57.78, ± 8.49,-0.027,9,N,A,,O,S,Y,M
Megophryidae,Brachytarsophrys chuannanensis,101.86,± 7.60,100.82,± 12.90,43.23 ± 0.54,,236.09, ± 35.18,0.068,2,N,A,,T,S,Y,M
Megophryidae,Brachytarsophrys feae,95.61,,93.5,,23.11,,156.42,,0.025,1,N,A,,T,S,Y,M
Bufonidae,Bufo andrewsi,75.6,± 1.30,24.41, ± 1.20,61.55 ± 2.12,,184.52,± 50.12,0.105,23,N,T,O,,S,Y,M
Bufonidae,Bufo gargarizans,99.53,± 3.60,88,± 1.00,66.86 ± 3.55,,262.06,± 71.34,0.037,6,N,T,O,,S,Y,M
Bufonidae,Bufo melanostictus,54.55, ± 2.32,20.35, ± 2.41,25.96 ± 3.13,,69.96,± 17.57,0.145,5,N,T,O,,S,Y,M
Bufonidae,Bufo minshanicus,67.53, ± 0.80,36.59,± 1.60,30.37 ± 3.01,,125.06,± 29.28,0.139,4,N,T,O,,S,Y,M
Bufonidae,Bufo tibetanus,58.62, ± 5.80,21.53, ± 8.40,25.88 ± 0.78,,68.08,± 27.23,0.071,3,N,T,O,,S,Y,M
Dicroglossidae,Feirana quadranus,71.12, ± 3.90,43.32, ± 6.60,33.60 ± 2.17,,132.92,± 30.99,0.038,5,N,A,,T,Q,N,P
Dicroglossidae,Fejervarya multistriata,38.1,± 1.30,5.08,± 0.50,21.07 ± 1.23,,33.22,± 8.11,0.064,76,D,A,,O,Q,N,M
Hylidae,Hyla annectans jingdongensis,33.54, ± 0.90,2.16, ± 0.30,11.43 ± 0.58,,19.17,± 4.13,0.062,8,D,T,C,,S,N,P
Hylidae,Hyla tsinlingensis,32.1, ± 0.50,2.31,± 0.20,7.99 ± 0.17,,19.16,± 2.51,0.037,3,D,T,C,,S,N,M
Ranidae,Hylarana daunchina,43.7, ± 0.20,9.21,± 0.20,19.66 ± 1.13,,62.97, ± 3.94,0.027,3,D,A,,O,Q,N,M
