Scientific name,N,Hab.,Act.,Referencea,SVL (mm),ED (mm),Reference
Achalinus spinalis,20,F,N,Zhao (2006),326.4,1.01,
Ahaetulla prasina,2,A,D,Zhao (2006),860,4.77,
Amphiesma craspedogaster,30,S,D,Zhao (2006),385.73,2.9,
Amphiesma parallelum,2,S,D,Zhao (2006),403.5,2.66,
Amphiesma sauteri,12,S,D,Zhao (2006),335.08,2.44,
Apostolepis breviceps,1,F,N,de Lema (2001),287,0.7,Harvey et al. (2001)
Apostolepis multicincta,1,F,N,Harvey (1999),333,0.91,Harvey (1999)
Atractus bocki,2,F,N,Martins and Oliveira (1993),316,1.6,Passos et al. (2009)
Atretium yunnanensisc,2,S,D,Zhao (2006),501,4.05,
Boiga kraepelini,14,A,N,Zhao (2006),896.86,4.83,
Boiga multomaculata,8,A,N,Zhao (2006),611.25,3.18,
Calamaria gialaiensis,1,F,N,Zhao (2006),420,1.4,Ziegler et al. (2008)
Chironius flavolineatus,107,A,D,Richard Pinto et al. (2008),692.62,4.99,Richard Pinto et al. (2008)
Chironius quadricarinatus,148,A,D,Richard Pinto et al. (2008),633.38,4.81,Richard Pinto et al. (2008)
Clelia langeri,1,T,N,Strussmann and Sazima (1993),718,3.3,Reichle and Embert (2005)
Conopsis nasus,1,F,N,Hardy (1975),245,1.87,Goyenechea and Flores‐Villela (2000)
Crotaphopeltis hotamboeia,107,S,N,Luiselli and Akani (2002),440.6,3.17,Keogh et al. (2000)
Cyclophiops majorc,2,T,D,Zhao (2006),802.5,5.18,
Dendrelaphis pictus,10,A,D,Zhao (2006),763.9,5.02,
Dendrelaphis walli,4,A,D,Van Rooijen and Vogel (2008),546.25,3.5,Vogel and van Rooijen (2011)
Dinodon flavozonatum,12,T,N,Zhao (2006),720.33,2.8,
Dinodon rosozonatum,6,T,N,Zhao (2006),780,3.24,
Dinodon rufozonatum,26,T,N,Zhao (2006),701.5,3.3,
Dipsas sazimai,1,A,N,Harvey and Embert (2008),498,3.1,Fernandes et al. (2010)
Drymoluber apurimacensis,2,T,D,Lehr et al. (2004),656.5,4.1,Lehr et al. (2004)
Elaphe bimaculatad,1,T,D,Zhao (2006),550,3.82,
Enhydris chinensis,4,S,N,Zhao (2006),376.25,2.11,
Enhydris plumbead,8,S,N,Zhao (2006),290.5,2.02,
Hemorrhois ravergiericd,2,T,D,Zhao (2006),810,4.55,
Heteroliodon fohy,1,T,N,Glaw et al. (2005),212,1.5,Glaw et al. (2005)
Hierophis spinalis,4,T,D,Zhao (2006),568.25,3.59,
Hypsiglena torquata tiburonensis,1,T,N,Rodríguez‐Robles et al. (1999),376,2.1,Tanner (1981)
Lampropeltis webbi,1,T,N,Bryson et al. (2005),306,2.3,Bryson et al. (2005)
Liophis taeniogaster,1,T,D,Henderson and Bourgeois (1993),397,3.5,Dixon (1983)
Liophis melanotus nesos,1,T,D,Henderson and Bourgeois (1993),275,2.2,Dixon and Michaud (1992)
Lycodon aulicusd,2,T,N,Zhao (2006),286,2.3,
Macropisthodon rudisc,2,T,D,Zhao (2006),605,5.39,
Mehelya capensis,45,T,N,Shine et al. (1996),997.8,4.02,Shine et al. (1996)
Mehelya nyassae,37,T,N,Shine et al. (1996),398.15,1.72,Shine et al. (1996)
Natrix tessellatacd,24,S,D,Zhao (2006),538.21,3.48,
Oligodon cinereus,4,T,D,Zhao (2006),382.75,2.17,
Oocatochus rufodorsatus,8,S,D,Zhao (2006),577.75,3.03,
Opisthotropis kuatunensis,6,S,N,Zhao (2006),484.17,1.64,
Opisthotropis latouchiic,22,S,N,Zhao (2006),359,1.14,
Oreocryptophis porphyraceus,12,T,D,Zhao (2006),569.67,2.7,
Pareas carinatus,2,T,N,Zhao (2006),397,3.47,
Pareas formosensisd,28,T,N,Zhao (2006),384.64,2.7,
Pareas margaritophorus,8,T,N,Zhao (2006),296.75,2.14,
Plagiopholis styani,1,F,N,Zhao (2006),176,2,Thompson (1913)
Psammophis lineolatusd,2,T,D,Zhao (2006),558.5,3.45,
Pseudoxenodon bambusicolad,2,T,D,Zhao (2006),342.5,4.01,
Pseudoxenodon macrops sinensis,20,T,D,Zhao (2006),482.65,4.73,
Pseudoxyrhopus analabe,1,F,N,Nussbaum et al. (1998),260,1.5,Nussbaum et al. (1998)
Ptyas dhumnades,6,T,D,Zhao (2006),941.33,7.01,
Ptyas korros,8,A,D,Zhao (2006),856.38,6.26,
Rhabdophis nuchalis,8,T,D,Zhao (2006),458,2.64,
"Rhynchophis boulengeric,d",2,A,D,Zhao (2006),858.5,4.11,
Sibynophis chinensis miyiensis,16,T,D,Zhao (2006),413.81,2.63,
Sinonatrix percarinata,14,S,D,Zhao (2006),536.71,3.85,
Taeniophallus nebularis,1,T,D,Schargel et al. (2005),331,2.7,Schargel et al. (2005)
Tantilla ceboruca,1,T,D,Canseco‐Márquez et al. (2007),159.7,1.1,Canseco‐Márquez et al. (2007)
Thermophis baileyic,2,S,D,Zhao (2006),590,3.63,
Trachischium tenuiceps,1,F,N,Zhao (2006),267,1.26,
"Xenochrophis piscatorc,d",6,S,D,Zhao (2006),451.33,3.62,
Xenochrophis schnurrenbergeri,1,S,D,Murphy et al. (1999),447,3.92,Mohapatra et al. (2010)
Xenopholis werdingorum,1,T,N,Jansen et al. (2009),338,1.6,Jansen et al. (2009)
