﻿Taxon (species and subspecies),﻿rostrum-anus (mm),eye (mm)
Cnemaspis africana,44,2.3
Cnemaspis nigridia,69.4,3.5
Cyrtodactylus pulchellus,84.8,5.4
Diplodactylus pulcher,50,2.9
Gehyra oceanica,80.5,4.9
Gehyra variegata,48.2,3.1
Gekko gecko,148,8.3
Gekko vittatus,102.2,5.9
Gonatodes albogularis,37.1,1.8
Gonatodes humeralis,34.9,1.7
Gonatodes vittatus,31.9,1.7
Hemidactylus brooki angulatus,52.7,2.9
Hemidactylus flaviviridis,68.3,4
Hemidactylus frenatus,49.2,3.2
Hemidactylus mabouia,57.4,3.5
Hemidactylus tropidolepis,52.7,3
Hemidactylus turcicus,44.1,2.7
Heteronotia binoei,43.5,2.8
Homonota gaudichaudi,32,1.7
Homopholis walbergii,97.5,4.9
Hoplodactylus duvaucelii,123.4,6.4
Hoplodactylus granulatus,68.6,3.6
Hoplodactylus maculatus,69.6,3.7
Lygodactylus angolensis,29.5,1.7
Lygodactylus capensis,29,1.7
Lygodactylus capensis grotei,38.3,1.7
Lygodactylus conraui,27.5,1.6
Lygodactylus fischeri,28,1.7
Lygodactylus gutturalis,33.4,1.8
Lygodactylus picturatus mombasicus,33.4,1.8
Mediodactylus amictopholis,31,1.8
Mediodactylus kotschyi orientalis,39.8,2.7
Naultinus elegans,69.4,2.6
Naultinus gemmeus,67.8,2.9
Naultinus manukanus,67.7,2.8
Naultinus stellatus,65,2.6
Oedura lesueurii,53,2.9
Oedura marmorata,93.3,5.2
Oedura reticulata,60.7,3.3
Pachydactylus bicolor,40,2.7
Pachydactylus m. maculatus,42,2.7
Pachydactylus namaquensis,68,4.4
Pachydactylus turneri laevigatus,72.8,4.3
Phelsuma laticauda,54.6,2.3
Phelsuma parkeri,69,3.9
Phyllodactylus galapagensis,43,2.9
Phyllodactylus tuberculosus,76,4.7
Ptenopus garrulus maculatus,52.3,3.2
Ptenopus kochi,58.3,3.8
Ptychozoon kuhli,91.5,5.4
Ptyodactylus guttatus,68.9,4.9
Ptyodactylus hasselquistii,73.4,4.8
Ptyodactylus oudrii,49.5,3.6
Ptyodactylus puiseuxi,66.6,3.9
Rhacodactylus leachianus,208.5,7.8
Rhoptropus barnardi,41.6,2.3
Stenodactylus doriae,54,4.7
Stenodactylus petrii,52.3,4.3
Stenodactylus sthenodactylus,44.4,3.5
Strophurus elderi,40.7,2.4
﻿Teratolepis fasciata,52,3.5
Teratoscincus scincus,90.1,5.8
