Family,Taxon,N(this study),"N(Ritland, 1982)",Activity (Ref),Axial length (mm),Corneal diameter (mm),Snout–vent length (mm),Ratio (corneal diameter/axial length)
Anguidae,Ophisaurus apodus,,1,"Photopic (1,9)",7.10,3.80,400.00,0.54
Anguidae,Gerrhontus nigroluila,,2,"Photopic (1,9)",5.05,2.55,91.00,0.50
Anguidae,Gerrhontus weighmanii,2,,"Photopic (1,9)",6.00,3.26,112.58,0.54
Cordylidae,Chamaesaura macrolepis,1,,"Photopic (4,9)",2.93,1.73,125.88,0.59
Cordylidae,Cordylus cordylus,3,4,"Photopic (4,9)",4.25,2.06,71.49,0.48
Cordylidae,Cordylus niger,3,,"Photopic (4,9)",4.19,2.21,72.45,0.53
Cordylidae,Cordylus polyzonus,3,,"Photopic (4,9)",5.33,2.91,,
Cordylidae,Gerrhosaurus major,2,,"Photopic (4,9)",6.01,3.53,128.38,0.59
Cordylidae,Platysaurus guttatus,,1,"Photopic (4,9)",5.10,2.10,102.00,0.41
Cordylidae,Platysaurus intermedius,2,,"Photopic (4,9)",3.78,2.27,81.06,0.60
Gekkota,Eublepharus hardwickii,1,,"Scotopic (4,9)",6.71,6.31,100.21,0.94
Gekkota,Eublepharus macularis,1,,"Scotopic (4,9)",4.55,4.73,97.98,1.04
Gekkota, Aeluroscolaboten felin,,2,"Scotopic (4,9)",7.10,5.80,101.50,0.82
Gekkota, Coleonyx elegans,1,,"Scotopic (4,9)",4.62,4.51,82.96,0.98
Gekkota, Coleonyx variegatus,2,,"Scotopic (4,9)",2.59,2.27,60.40,0.88
Gekkota, Cyrodactylus louisiadensis,1,,"Scotopic (4,9)",11.59,9.35,137.32,0.81
Gekkota, Gekko gecko,1,6,"Scotopic (4,9)",8.38,7.06,109.07,0.84
Gekkota, Gehyra variegata,2,,"Scotopic (4,9)",3.33,3.01,42.31,0.90
Gekkota, Gekko swinhonis,2,,"Scotopic (4,9)",3.63,2.62,52.99,0.72
Gekkota, Gonatodes ocellatus,2,,Photopic (7),3.43,2.32,40.37,0.68
Gekkota, Gonatodes vittatus,2,,Photopic (7),2.83,1.81,32.65,0.64
Gekkota, Hemidactylus mabouia,2,,Scotopic (9),4.36,3.40,56.36,0.78
Gekkota, Hemidactylus platycephalus,2,,Scotopic (9),4.48,3.18,71.72,0.71
Gekkota, Lepidodactylus lugubris,2,,Scotopic (9),3.26,2.66,34.23,0.82
Gekkota, Lygodactylus picturatus,2,,Photopic (7),3.23,1.89,32.46,0.59
Gekkota, Narudasia festiva,1,,Photopic (7),2.23,1.72,28.69,0.77
Gekkota, Naultinus elegans,1,,Scotopic (9),5.02,3.02,68.50,0.60
Gekkota, Phelsuma astriata,1,,Photopic (7),3.81,3.82,42.41,1.00
Gekkota, Phelsuma laticaudata,1,,Photopic (7),3.59,2.02,53.77,0.56
Gekkota, Phelsuma madagascariensis,1,,Photopic (7),4.22,3.02,81.78,0.72
Gekkota, Phyllodactylus reissii,1,,Scotopic (9),4.60,3.53,64.20,0.77
Gekkota, Pristurus carteri,3,,Photopic (7),5.08,4.66,61.59,0.92
Gekkota, Ptyodactylus hasselquisti,1,,Scotopic (9),4.13,4.16,65.39,1.01
Gekkota, Quedenfeldtia moerens,2,,Photopic (7),4.03,2.49,43.41,0.62
Gekkota, Sphaerodactylus anthracinus,2,,Photopic (7),2.49,1.54,26.54,0.62
Gekkota, Tarentola mauritanica,1,,Scotopic (9),4.12,4.11,50.27,1.00
Iguania,Brookesia superciliaris,2,2,"Photopic (4,9)",3.70,1.68,42.26,0.45
Iguania, Chamaeleo africanus,2,,"Photopic (4,9)",7.73,2.26,131.62,0.29
Iguania, Chamaeleo bitaeniatus,,4,"Photopic (4,9)",5.46,2.12,67.20,0.39
Iguania, Chamaeleo chamaeleon,2,,"Photopic (4,9)",7.39,2.23,70.66,0.30
