Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Anas crecca,,Birds (Aves),birds,Aves,,0.3055,10.45,NA,NA,NA,Hall & Heesy 2011,Anas crecca,birdtree,,
Anas platyrhynchos,,Birds (Aves),birds,Aves,,1.1705,13.5,NA,NA,NA,Hall & Heesy 2011,Anas platyrhynchos,birdtree,,
Anser albifrons,,Birds (Aves),birds,Aves,,2.2115,14.8,NA,NA,NA,Hall & Heesy 2011,Anser albifrons,birdtree,,
Anthus trivialis,,Birds (Aves),birds,Aves,,0.0234,7.4,NA,NA,NA,Hall & Heesy 2011,Anthus trivialis,birdtree,,
Apus apus,,Birds (Aves),birds,Aves,,0.0376,9.96,NA,NA,NA,Hall & Heesy 2011,Apus apus,birdtree,,
Aquila chrysaetos ,,Birds (Aves),birds,Aves,,4.2635,27.8,NA,NA,NA,Hall & Heesy 2011,Aquila chrysaetos,birdtree,,
Aquila pomarina,,Birds (Aves),birds,Aves,,1.37,26.8,NA,NA,NA,Hall & Heesy 2011,Aquila pomarina,birdtree,,
Ardea cinerea,,Birds (Aves),birds,Aves,,1.443,18.7,NA,NA,NA,Hall & Heesy 2011,Ardea cinerea,birdtree,,
Ardeola ralloides,,Birds (Aves),birds,Aves,,0.287,11.2,NA,NA,NA,Hall & Heesy 2011,Ardeola ralloides,birdtree,,
Arenaria interpres,,Birds (Aves),birds,Aves,,0.136,9.7,NA,NA,NA,Hall & Heesy 2011,Arenaria interpres,birdtree,,
Aythya marila,,Birds (Aves),birds,Aves,,1.0065,12.7,NA,NA,NA,Hall & Heesy 2011,Aythya marila,birdtree,,
Botaurus stellaris,,Birds (Aves),birds,Aves,,1.3245,13.8,NA,NA,NA,Hall & Heesy 2011,Botaurus stellaris,birdtree,,
Branta bernicla,,Birds (Aves),birds,Aves,,1.3,14.1,NA,NA,NA,Hall & Heesy 2011,Branta bernicla,birdtree,,
Branta canadensis,,Birds (Aves),birds,Aves,,4.8415,13.5,NA,NA,NA,Hall & Heesy 2011,Branta canadensis,birdtree,,
Bucephala clangula,,Birds (Aves),birds,Aves,,0.9155,10.8,NA,NA,NA,Hall & Heesy 2011,Bucephala clangula,birdtree,,
Buteo buteo,,Birds (Aves),birds,Aves,,0.875,20.8,NA,NA,NA,Hall & Heesy 2011,Buteo buteo,birdtree,,
Buteo lagopus,,Birds (Aves),birds,Aves,,0.956,27.1,NA,NA,NA,Hall & Heesy 2011,Buteo lagopus,birdtree,,
Calidris alpina,,Birds (Aves),birds,Aves,,0.05755,6.7,NA,NA,NA,Hall & Heesy 2011,Calidris alpina,birdtree,,
Carduelis carduelis,,Birds (Aves),birds,Aves,,0.016,5.6,NA,NA,NA,Hall & Heesy 2011,Carduelis carduelis,birdtree,,
Carduelis chloris,,Birds (Aves),birds,Aves,,0.026,6.8,NA,NA,NA,Hall & Heesy 2011,Carduelis chloris,birdtree,,
Ciconia ciconia,,Birds (Aves),birds,Aves,,3.448,22.2,NA,NA,NA,Hall & Heesy 2011,Ciconia ciconia,birdtree,,
Ciconia nigra,,Birds (Aves),birds,Aves,,2.926,19.8,NA,NA,NA,Hall & Heesy 2011,Ciconia nigra,birdtree,,
Circus cyaneus,,Birds (Aves),birds,Aves,,0.365,18.5,NA,NA,NA,Hall & Heesy 2011,Circus cyaneus,birdtree,,
Circus macrourus,,Birds (Aves),birds,Aves,,0.3885,17.3,NA,NA,NA,Hall & Heesy 2011,Circus macrourus,birdtree,,
Clangula hyemalis,,Birds (Aves),birds,Aves,,0.873,13.5,NA,NA,NA,Hall & Heesy 2011,Clangula hyemalis,birdtree,,
Corvus corax,,Birds (Aves),birds,Aves,,0.785,19.13,NA,NA,NA,Hall & Heesy 2011,Corvus corax,birdtree,,
Corvus corone,,Birds (Aves),birds,Aves,,0.57,15.63,NA,NA,NA,Hall & Heesy 2011,Corvus corone,birdtree,,
Corvus frugilegus,,Birds (Aves),birds,Aves,,0.4535,15,NA,NA,NA,Hall & Heesy 2011,Corvus frugilegus,birdtree,,
Corvus monedula,,Birds (Aves),birds,Aves,,0.246,12.8,NA,NA,NA,Hall & Heesy 2011,Corvus monedula,birdtree,,
Cygnus cygnus,,Birds (Aves),birds,Aves,,9.35,18.45,NA,NA,NA,Hall & Heesy 2011,Cygnus cygnus,birdtree,,
Cygnus olor,,Birds (Aves),birds,Aves,,0.765,17.2,NA,NA,NA,Hall & Heesy 2011,Cygnus olor,birdtree,,
Delichon urbica,,Birds (Aves),birds,Aves,,0.0145,7.8,NA,NA,NA,Hall & Heesy 2011,Delichon urbicum,birdtree,,
Falco eleonorae,,Birds (Aves),birds,Aves,,0.39,16.4,NA,NA,NA,Hall & Heesy 2011,Falco eleonorae,birdtree,,
Falco naumanni,,Birds (Aves),birds,Aves,,0.1525,11.9,NA,NA,NA,Hall & Heesy 2011,Falco naumanni,birdtree,,
Falco peregrinus,,Birds (Aves),birds,Aves,,0.6975,19.65,NA,NA,NA,Hall & Heesy 2011,Falco peregrinus,birdtree,,
