Scientific name,Common name,Group,Wt in kg,Axial (mm),Reference for axial length,Reference for weight,Quality
Alytes obstetricans,Midwife toad,Amphibians,0.01,4,Rochon-DuVigneaud (1943),Note 10,Group 5
Bombinator pachypus,Yellow-bellied toad,Amphibians,0.01,3,Rochon-DuVigneaud (1943),"Bellairs (1970), Note 3",Group 5
Bufo americanus,American toad,Amphibians,0.0113,1.48,Mathis (1988),Note 1,Group 5
Bufo americanus,American toad,Amphibians,0.0164,6.083,Mathis (1988),Note 1,Group 5
Bufo americanus,American toad,Amphibians,0.0104,0.982,Mathis (1988),Note 1,Group 5
Rana catesbeiana,N. American bull frog,Amphibians,0.5199,11.459,Note 30,Altman (1962),Group 6
Rana temporaria,Common frog,Amphibians,0.593,5.3,Note 30,Altman (1962),Group 6
Accipiter nisus,Sparrow hawk,Birds,1.56,13.5,Lord Jr. (1956),Note 29,Group 5
Alle alle,Dovekie,Birds,0.103,10.488,Note 30,Altman (1962),Group 6
Amazilia tzacatl,Rufous-tailed hummingbird,Birds,0.0048,4.132,Note 30,Altman (1962),Group 6
Anas acuta,Pintail,Birds,0.67,9.986,Note 30,Altman (1962),Group 6
Anas carolinensis,Green-winged teal,Birds,0.305,8.792,Note 30,Altman (1962),Group 6
Apteryx australis,Brown kiwi,Birds,2.2,8,Sivak (1987b),Perrins (1985),Group 3
Apus apus,Common swift,Birds,0.0197,8.9,Rochon-DuVigneaud (1943),Note 20,Group 5
Aquila chrysaetos,Golden eagle,Birds,4.3451,32.024,Hughes (1977),Hughes (1977),Group 3
Aquila rapax,Tawny eagle,Birds,2.5315,26.51,Note 30,Altman (1962),Group 6
Athene noctua,Little owl,Birds,2.78,12.5,Rochon-DuVigneaud (1943),Note 24,Group 5
Balearica pavonina,Black crowned crane,Birds,4.448,18.928,Note 30,Altman (1962),Group 6
Bubo bubo,Eurasian eagle owl,Birds,1.8268,34.97,Hughes (1977),Hughes (1977),Group 3
