"","Order","Suborder","Family","Subfamily","Genus","Species","genus_species","Feng_tiplabel","mod_tiplabel","Adult_habitat","Activity_period","Mating_habitat","Life_history","Larval_habitat","Sex_dichromatism","Sex_size_dimorphism","Female_max_SVL","Male_max_SVL","Pupil_shape"
"1","Anura","Neobatrachia","Hylidae","Acridinae","Acris","gryllus","Acris_gryllus",NA,"Acris_gryllus_Hylidae","Ground-dwelling","Both","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",33,29,"Horizontal shape"
"2","Anura","Neobatrachia","Bufonidae",NA,"Adenomus","kelaartii","Adenomus_kelaartii","Adenomus_kelaartii_Bufonidae","Adenomus_kelaartii_Bufonidae","Subfossorial","Nocturnal","Lotic water","Free-living larvae","Unknown","Absent","Unknown",50,33,"Horizontal slit"
"3","Anura","Neobatrachia","Hyperoliidae",NA,"Afrixalus","dorsalis","Afrixalus_dorsalis","Afrixalus_dorsalis_Hyperoliidae","Afrixalus_dorsalis_Hyperoliidae","Scansorial","Nocturnal","Plants","Free-living larvae","Lentic water","Absent","Absent",29,28,"Vertical slit"
"4","Anura","Neobatrachia","Phyllomedusidae",NA,"Agalychnis","callidryas","Agalychnis_callidryas","Agalychnis_callidryas_Hylidae","Agalychnis_callidryas_Hylidae","Scansorial","Nocturnal","Plants","Free-living larvae","Lentic water","Absent","Unknown",77,59,"Vertical slit"
"5","Anura","Neobatrachia","Phyllomedusidae",NA,"Agalychnis","dacnicolor","Agalychnis_dacnicolor",NA,"Agalychnis_dacnicolor_Hylidae","Scansorial","Nocturnal","Plants","Free-living larvae","Lentic water","Absent","Unknown",79,68,"Vertical slit"
"6","Anura","Neobatrachia","Mantellidae","Laliostominae","Aglyptodactylus","madagascariensis","Aglyptodactylus_madagascariensis","Aglyptodactylus_madagascariensis_Mantellidae","Aglyptodactylus_madagascariensis_Mantellidae","Subfossorial","Unknown","Lentic water","Free-living larvae","Lentic water","Present","Females larger",53,41,"Horizontal shape"
"7","Anura","Neobatrachia","Aromobatidae","Allobatinae","Allobates","femoralis","Allobates_femoralis","Allobates_femoralis_Dendrobatidae","Allobates_femoralis_Dendrobatidae","Ground-dwelling","Diurnal","Ground","Free-living larvae","Lentic water","Absent","Unknown",35,33,"Horizontal shape"
"8","Anura","Neobatrachia","Allophrynidae",NA,"Allophryne","ruthveni","Allophryne_ruthveni",NA,"Allophryne_ruthveni_Allophrynidae","Scansorial","Nocturnal","Plants","Free-living larvae","Unknown","Absent","Unknown",27,22.6,"Horizontal slit"
"9","Anura","Neobatrachia","Bufonidae",NA,"Altiphrynoides","osgoodi","Altiphrynoides_osgoodi",NA,"Altiphrynoides_osgoodi_Bufonidae","Ground-dwelling","Nocturnal","Ground","Free-living larvae","Lentic water","Absent","Females larger",62.1,52.5,"Unknown"
"10","Anura","Archaeobatrachia","Alytidae",NA,"Alytes","obstetricans","Alytes_obstetricans","Alytes_obstetricans_Alytidae","Alytes_obstetricans_Alytidae","Ground-dwelling","Nocturnal","Lotic water","Free-living larvae","Lentic water","Absent","Females larger",55,55,"Vertical slit"
"11","Anura","Neobatrachia","Pyxicephalidae","Cacosterninae","Amietia","angolensis","Amietia_angolensis",NA,"Amietia_angolensis_Pyxicephalidae","Semiaquatic","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",90,62,"Unknown"
